"TIPO_PROMO","NOME_PROMO","ELEMENTO_PROMO","MISURA_PROMO","LISTA_ELEM_PROMO","MOV","TIPO_MOV","NOME_TIPO_MOV","NOME_MOV","ELEMENTO_MOV","MISURA_MOV","LISTA_ELEM_MOV","COL_TEST","COL_TEST_NUM","COL_DETT","COL_DETT_NUM","COL_CAMP","COL_CAMP_NUM","COL_PROM","COL_PROM_NUM","COL_CATE","COL_CATE_NUM"
LI,Sconto Locale a Valore Tipo I,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
LP,Sconto Locale a Valore Tipo P,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
LX,Sconto Locale a Valore Tipo X,Real Product,Fixed Value Discount,Dynamic,"88",BNFTS,Promo Benefits,Sconti Locali MM,Real Product,Fixed Value Discount,Dynamic,SCONTO_MM_LOCALE,39,SCONTO_MM_LOCALE,93,ID_CAMP_SCONTO_MM_LOCALE,91,ID_PROM_SCONTO_MM_LOCALE,92,No Category,
DJ,Donazioni da Articolo,Real Product,Hearned Points,Static,"89",BNFTS,Promo Benefits,Punti Prodotto,Real Product,Hearned Points,Static,PUNTI_EMESSI_PRODOTTO,19,PUNTI_EMESSI,45,ID_CAMP_COLLECTION,33,ID_PROM_COLLECTION,34,ID_CATE_COLLECTION,35
BJ,Punti Articolo,Real Product,Hearned Points,Static,"89",BNFTS,Promo Benefits,Punti Prodotto,Real Product,Hearned Points,Static,PUNTI_EMESSI_PRODOTTO,19,PUNTI_EMESSI,45,ID_CAMP_COLLECTION,33,ID_PROM_COLLECTION,34,ID_CATE_COLLECTION,35
BP,Articoli Premio,Gift,Redeemed Points,Static,"90",BNFTS,Promo Benefits,Punti Redenti Premio Attuale,Gift,Redeemed Points,Static,PUNTI_REDENTI,22,PUNTI_REDENTI,46,ID_CAMP_COLLECTION,33,ID_PROM_COLLECTION,34,ID_CATE_COLLECTION,35
AS,Promo su tot Assortimento Prodotti,Real Product,Percentage Discount,Static,"91",BNFTS,Promo Benefits,Sconti Prodotto Fid,Real Product,Value or Percentage Discount,Static,SCONTO_PRODOTTO,16,SCONTO_PRODOTTO,42,ID_CAMP_SCONTI,24,ID_PROM_SCONTI,25,ID_CATE_SCONTI,26
AP,Sconto Percentuale Articolo,Real Product,Percentage Discount,Static,"91",BNFTS,Promo Benefits,Sconti Prodotto Fid,Real Product,Value or Percentage Discount,Static,SCONTO_PRODOTTO,16,SCONTO_PRODOTTO,42,ID_CAMP_SCONTI,24,ID_PROM_SCONTI,25,ID_CATE_SCONTI,26
AV,Sconto Valore Articolo,Real Product,Fixed Value Discount,Static,"91",BNFTS,Promo Benefits,Sconti Prodotto Fid,Real Product,Value or Percentage Discount,Static,SCONTO_PRODOTTO,16,SCONTO_PRODOTTO,42,ID_CAMP_SCONTI,24,ID_PROM_SCONTI,25,ID_CATE_SCONTI,26
FP,Sconto MultiArticolo Percentuale,Real Product,Percentage Discount,Static,"91",BNFTS,Promo Benefits,Sconti Prodotto Fid,Real Product,Value or Percentage Discount,Static,SCONTO_PRODOTTO,16,SCONTO_PRODOTTO,42,ID_CAMP_SCONTI,24,ID_PROM_SCONTI,25,ID_CATE_SCONTI,26
FV,Sconto MultiArticolo Valore,Real Product,Fixed Value Discount,Static,"91",BNFTS,Promo Benefits,Sconti Prodotto Fid,Real Product,Value or Percentage Discount,Static,SCONTO_PRODOTTO,16,SCONTO_PRODOTTO,42,ID_CAMP_SCONTI,24,ID_PROM_SCONTI,25,ID_CATE_SCONTI,26
PF,Prezzo Finito,Real Product,Fixed Value Discount,Static,"91",BNFTS,Promo Benefits,Sconti Prodotto Fid,Real Product,Value or Percentage Discount,Static,SCONTO_PRODOTTO,16,SCONTO_PRODOTTO,42,ID_CAMP_SCONTI,24,ID_PROM_SCONTI,25,ID_CATE_SCONTI,26
BP,Articoli Premio,Gift,Redeemed Points,Static,"92",BNFTS,Promo Benefits,Punti Redenti Premio Precedente,Gift,Redeemed Points,Static,PUNTI_REDENTI,22,PUNTI_REDENTI,46,ID_CAMP_COLLECTION,33,ID_PROM_COLLECTION,34,ID_CATE_COLLECTION,35
DM,Donazioni su Prodotto,Real Product,Redemeed Points + Taxable Discount,Static,"93",BNFTS,Promo Benefits,Punti Redenti Prodotto,Real Product,Redeemed Points,Static,PUNTI_REDENTI,22,PUNTI_REDENTI,46,ID_CAMP_COLLECTION,33,ID_PROM_COLLECTION,34,ID_CATE_COLLECTION,35
BM,Prodotti Multi Target,Real Product,Redemeed Points + Taxable Discount,Static,"93",BNFTS,Promo Benefits,Punti Redenti Prodotto,Real Product,Redeemed Points,Static,PUNTI_REDENTI,22,PUNTI_REDENTI,46,ID_CAMP_COLLECTION,33,ID_PROM_COLLECTION,34,ID_CATE_COLLECTION,35
DM,Donazioni su Prodotto,Real Product,Redemeed Points + Taxable Discount,Static,"94",BNFTS,Promo Benefits,Controvalore (Quta non pagata),Real Product,Taxable Discount (Quota non Pagata),Static,QUOTA_NON_PAG,48,QUOTA_NON_PAG,53,,,,,No Category,
BM,Prodotti Multi Target,Real Product,Redemeed Points + Taxable Discount,Static,"94",BNFTS,Promo Benefits,Controvalore (Quta non pagata),Real Product,Taxable Discount (Quota non Pagata),Static,QUOTA_NON_PAG,48,QUOTA_NON_PAG,53,,,,,No Category,
